id,set,title,type,options,answer
1,习概选择题,习近平新时代中国特色社会主义思想被载入宪法是在(        )。,single,A.2018年|B.2017年|C.2019年|D.2020年,A
162,习概选择题,"构建人类命运共同体思想,核心是“建设持久和平、普遍安全、共同繁荣、( )的世界”。",single,A.开放包容、清洁美丽|B.开放包容、合作共赢|C.合作共赢、清洁美丽|D.合作共赢、持续发展,A
163,习概选择题,"我们将秉持( )的全球治理观,积极参与全球治理体系改革和建设。",single,A.相互尊重|B.公平正义|C.合作共赢|D.共商共建共享,D
164,习概选择题,坚持以( )为底线维护国家主权、安全、发展利益。,single,A.国家核心利益|B.公平正义|C.深化外交布局|D.维护世界和平、促进共同发展,A
165,习概选择题,"要充分估计国际格局发展演变的复杂性,但更要看到( )向前推进的态势不会改变。",single,A.世界多极化|B.经济全球化|C.文化多样化|D.社会信息化,A
166,习概选择题,"( )是构建人类命运共同体的重要思想基础,凝聚了人类不同文明的价值共识。",single,A.全人类共同价值|B.全球经济发展|C.世界一体化建设|D.人类理想追求,A
167,习概选择题,"中国独立自主的和平外交政策,就是把( )放在第一位。",single,A.国家主权和安全|B.事情本身的是非曲直|C.世界人民的利益|D.我国人民的利益,A
168,习概选择题,新型国际关系“新”在( ),single,A.经济发展|B.合作共赢|C.人类文明|D.开放包容,B
169,习概选择题,"""大道之行也,天下为公。""(),是全人类的共同价值,也是联合国的崇高目标。目标远未完成,我们仍须努力。",single,A.和平、发展、合作、开放、民主、自由|B.和平、发展、公平、正义、民主、自由|C.经济、安全、公平、正义、合作、共赢|D.经济、发展、合作、包容、民主、共赢,B
170,习概选择题,坚持以( )为宗旨推动构建人类命运共同体。,single,A.中华民族伟大复兴|B.以共商共建共享|C.维护世界和平、促进共同发展|D.维护党中央权威,C
171,习概选择题,"( )审议通过《关于新形势下党内政治生活的若干准则》和《中国共产党党内监督条例》,紧紧围绕全面从严治党这个主题,继承和发扬党的优良传统和宝贵经验。",single,A.党的十九届六中全会|B.党的十九大|C.党的二十大|D.党的十八届六中全会,D
172,习概选择题,"党的十九大指出,党的建设要把党的( )摆在首位。",single,A.思想建设|B.组织建设|C.作风建设|D.政治建设,D
173,习概选择题,我们党的最大政治优势是:( ),single,A.政治建设|B.思想建设|C.不浮躁、不浮夸|D.密切联系群众,D
174,习概选择题,坚持党要管党、全面从严治党的方针的关键是( ),single,A.全面|B.严|C.管|D.治,B
175,习概选择题,"经过百年奋斗特别是党的十八大以来新的实践,我们党又给出了第二个答案,这就是( )。",single,A.反腐败斗争|B.群众路线|C.人民监督|D.自我革命,D
176,习概选择题,党的作风建设的核心是:( ),single,A.纪律严明|B.不能让享乐主义和奢靡之风卷土重来|C.党风问题|D.保持党同人民群众的血肉联系,D
177,习概选择题,( )是党的政治建设的首要任务。,single,"A.保证全党的高度团结统一|B.保证全党服从中央|C.保证全党服从中央,坚持党中央权威和集中统一领导|D.坚持党的中央权威和集中统一领导",C
178,习概选择题,全面从严治党以其丰富内涵诠释了( )的内在要求。,single,A.自我改革|B.自我革命|C.自我创新|D.自我发展,B
179,习概选择题,( )是党的基础性建设。,single,A.思想建设|B.政治建设|C.作风建设|D.组织建设,A
180,习概选择题,( )是新时代党的建设的根本方针。,single,A.全面从严治党|B.加强党的长期执政能力建设|C.坚持党要管党|D.坚持党要管党、全面从严治党,D
